Location,Count,Timestamp
Wayne,1,2020-03-20 13:21:52
Wayne,1,2020-03-20 19:36:17
Westchester,82,2020-03-08 19:23:56
Westchester,98,2020-03-09 21:07:28
Westchester,98,2020-03-10 00:25:59
Westchester,108,2020-03-10 18:27:08
Westchester,108,2020-03-11 03:02:16
Westchester,108,2020-03-11 14:13:15
Westchester,121,2020-03-11 20:01:35
Westchester,121,2020-03-12 00:20:09
Westchester,148,2020-03-12 21:54:00
Westchester,158,2020-03-13 20:01:24
Westchester,158,2020-03-14 03:19:05
Westchester,158,2020-03-14 15:33:50
Westchester,172,2020-03-14 18:51:54
Westchester,172,2020-03-14 22:31:39
Westchester,178,2020-03-15 02:22:39
Westchester,178,2020-03-15 15:52:37
Westchester,196,2020-03-15 19:58:05
Westchester,380,2020-03-17 16:40:43
Westchester,380,2020-03-17 18:00:34
Westchester,380,2020-03-17 19:49:33
Westchester,380,2020-03-17 20:28:21
Westchester,380,2020-03-18 05:18:04
Westchester,538,2020-03-18 20:27:28
Westchester,538,2020-03-19 02:05:01
Westchester,798,2020-03-19 17:56:54
Westchester,798,2020-03-20 13:21:52
Westchester,"1,091",2020-03-20 19:36:17
Wyoming,1,2020-03-17 16:40:43
Wyoming,1,2020-03-17 18:00:34
Wyoming,1,2020-03-17 19:49:33
Wyoming,1,2020-03-17 20:28:21
Wyoming,1,2020-03-18 05:18:04
Wyoming,1,2020-03-18 20:27:28
Wyoming,1,2020-03-19 02:05:01
Wyoming,2,2020-03-19 17:56:54
Wyoming,2,2020-03-20 13:21:52
Wyoming,2,2020-03-20 19:36:17
